North Hilo Processing Center,Appls Pending At Beg Of Report Period (Both Non-Expedited and Expedited),,34,24,27,20
North Hilo Processing Center,Appls Received This Report Period (Both Non-Expedited and Expedited),,20,23,5,7
North Hilo Processing Center,Total Dispositions,Timely,4,4,0,0
North Hilo Processing Center,Total Dispositions,Untimely (Agency Caused),7,2,0,0
North Hilo Processing Center,Total Approvals,Timely,4,4,0,0
North Hilo Processing Center,Total Approvals,Untimely (Agency Caused),7,2,0,0
North Hilo Processing Center,Total Non-Expedited Approvals,Timely,3,3,0,0
North Hilo Processing Center,Total Non-Expedited Approvals,Untimely (Agency Caused),7,2,0,0
North Hilo Processing Center,Total Expedited Approvals,Timely,1,1,0,0
North Hilo Processing Center,Total Non-Expedited Dispositions,Timely,10,5,0,0
North Hilo Processing Center,Total Non-Expedited Dispositions,Untimely (Agency Caused),7,2,0,0
North Hilo Processing Center,Total Expedited Dispositions,Timely,1,1,0,0
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,30 Days And Under,0,1,0,0
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,31 - 40 Days,7,6,3,4
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,41 - 50 Days,4,7,0,0
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,51 - 60 Days,5,4,2,3
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,61 - 90 Days,0,0,1,0
North Hilo Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,91 + Days,21,14,24,17
North Hilo Processing Center,Total Expedited Applications Pending at the End of Report Period,30 Days And Under,0,1,0,0
North Hilo Processing Center,Total Expedited Applications Pending at the End of Report Period,91 + Days,0,2,0,0
North Hilo Processing Center,Total Applications Pending At The End of Report Period (Both Non-Expedited and Expedited),,,,,
Kauai Processing Center,Appls Pending At Beg Of Report Period (Both Non-Expedited and Expedited),,10,8,10,5
Kauai Processing Center,Appls Received This Report Period (Both Non-Expedited and Expedited),,98,88,28,14
Kauai Processing Center,Total Dispositions,Timely,24,12,0,0
Kauai Processing Center,Total Dispositions,Untimely (Agency Caused),8,3,0,0
Kauai Processing Center,Total Approvals,Timely,23,11,0,0
Kauai Processing Center,Total Approvals,Untimely (Agency Caused),7,3,0,0
Kauai Processing Center,Total Non-Expedited Approvals,Timely,18,8,0,0
Kauai Processing Center,Total Non-Expedited Approvals,Untimely (Agency Caused),7,3,0,0
Kauai Processing Center,Total Expedited Approvals,Timely,5,3,0,0
Kauai Processing Center,Total Non-Expedited Denials,Timely,1,0,0,0
Kauai Processing Center,Total Non-Expedited Dispositions,Timely,27,11,0,0
Kauai Processing Center,Total Non-Expedited Dispositions,Untimely (Agency Caused),8,3,0,0
Kauai Processing Center,Total Expedited Dispositions,Timely,5,4,0,0
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,30 Days And Under,30,8,13,4
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,31 - 40 Days,40,28,10,7
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,41 - 50 Days,3,5,3,2
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,51 - 60 Days,0,0,2,1
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,61 - 90 Days,0,1,1,1
Kauai Processing Center,Total Non-Expedited Applications Pending at the End of Report Period,91 + Days,0,3,7,3
Kauai Processing Center,Total Expedited Applications Pending at the End of Report Period,30 Days And Under,0,9,0,0
Kauai Processing Center,Total Expedited Applications Pending at the End of Report Period,31 - 40 Days,1,22,0,0
Kauai Processing Center,Total Expedited Applications Pending at the End of Report Period,41 - 50 Days,0,4,0,0
Kauai Processing Center,Total Applications Pending At The End of Report Period (Both Non-Expedited and Expedited),,,,,